symbol,strategy,config_a_oos,config_a_consistency,config_b_oos,config_b_consistency,robust
HK.00700,Regime Switch,-0.997,0.0,0.0,0.0,False
HK.00700,HMM Regime Switch,1.172,33.3,0.004,20.0,False
HK.00700,ML Direction Classifier,-2.992,0.0,-0.933,0.0,False
HK.00005,Regime Switch,-0.072,33.3,-0.022,0.0,False
HK.00005,HMM Regime Switch,-0.055,0.0,-0.009,0.0,False
HK.00005,ML Direction Classifier,-0.383,0.0,-0.019,40.0,False
HK.09988,Regime Switch,-0.3,33.3,-0.016,20.0,False
HK.09988,HMM Regime Switch,-0.051,33.3,-0.007,20.0,False
HK.09988,ML Direction Classifier,-0.387,33.3,-0.476,0.0,False
HK.03690,Regime Switch,0.168,33.3,-0.061,0.0,False
HK.03690,HMM Regime Switch,-0.096,0.0,-0.07,0.0,False
HK.03690,ML Direction Classifier,0.022,66.7,-0.087,20.0,False
HK.01299,Regime Switch,-0.246,0.0,-0.041,0.0,False
HK.01299,HMM Regime Switch,-0.133,33.3,-0.128,0.0,False
HK.01299,ML Direction Classifier,0.526,33.3,-0.051,40.0,False
HK.00941,Regime Switch,-0.01,0.0,-0.012,20.0,False
HK.00941,HMM Regime Switch,0.031,33.3,-0.017,0.0,False
HK.00941,ML Direction Classifier,-0.015,33.3,-0.009,0.0,False
HK.02318,Regime Switch,-0.018,0.0,-0.027,20.0,False
HK.02318,HMM Regime Switch,-0.003,0.0,-0.039,20.0,False
HK.02318,ML Direction Classifier,-0.05,33.3,-0.018,40.0,False
HK.01211,Regime Switch,-0.047,33.3,-0.063,0.0,False
HK.01211,HMM Regime Switch,-0.069,33.3,-0.049,0.0,False
HK.01211,ML Direction Classifier,0.028,33.3,-0.095,20.0,False
HK.01810,Regime Switch,-0.054,0.0,-0.012,40.0,False
HK.01810,HMM Regime Switch,-0.024,0.0,0.05,40.0,False
HK.01810,ML Direction Classifier,-0.19,0.0,-0.052,0.0,False
HK.09618,Regime Switch,-0.125,66.7,-0.027,0.0,False
HK.09618,HMM Regime Switch,-0.105,33.3,-0.039,0.0,False
HK.09618,ML Direction Classifier,-0.256,0.0,-0.158,40.0,False
HK.09888,Regime Switch,0.209,33.3,-0.056,20.0,False
HK.09888,HMM Regime Switch,-0.082,0.0,0.0,0.0,False
HK.09888,ML Direction Classifier,-0.466,33.3,-0.46,20.0,False
