symbol,assigned,avg_oos_pct
HK.00700,NONE (stand aside),
HK.00005,ML Direction Classifier,0.032
HK.09988,NONE (stand aside),
HK.03690,NONE (stand aside),
HK.01299,NONE (stand aside),
HK.00941,NONE (stand aside),
HK.02318,NONE (stand aside),
HK.01211,NONE (stand aside),
HK.01810,NONE (stand aside),
HK.09618,NONE (stand aside),
HK.09888,NONE (stand aside),
HK.01398,NONE (stand aside),
HK.00939,NONE (stand aside),
HK.00883,NONE (stand aside),
HK.00016,NONE (stand aside),
HK.00027,NONE (stand aside),
HK.00388,NONE (stand aside),
HK.02020,NONE (stand aside),
HK.09999,NONE (stand aside),
