symbol,strategy,config_a_oos,config_a_consistency,config_b_oos,config_b_consistency,robust
HK.00700,Regime Switch,-0.947,0.0,-0.135,13.3,False
HK.00700,HMM Regime Switch,-0.209,22.2,-0.31,6.7,False
HK.00700,ML Direction Classifier,-1.49,22.2,-0.687,53.3,False
HK.00005,Regime Switch,-0.051,22.2,-0.031,0.0,False
HK.00005,HMM Regime Switch,-0.002,22.2,-0.008,20.0,False
HK.00005,ML Direction Classifier,-0.112,44.4,-0.029,53.3,False
HK.09988,Regime Switch,-0.184,44.4,-0.089,20.0,False
HK.09988,HMM Regime Switch,0.091,33.3,-0.011,20.0,False
HK.09988,ML Direction Classifier,-0.413,22.2,-0.409,26.7,False
HK.03690,Regime Switch,0.009,44.4,-0.069,20.0,False
HK.03690,HMM Regime Switch,-0.289,0.0,-0.11,13.3,False
HK.03690,ML Direction Classifier,-0.392,33.3,-0.329,26.7,False
HK.01299,Regime Switch,-0.074,44.4,-0.095,0.0,False
HK.01299,HMM Regime Switch,-0.06,22.2,-0.103,13.3,False
HK.01299,ML Direction Classifier,0.072,44.4,-0.125,13.3,False
HK.00941,Regime Switch,-0.01,33.3,-0.029,0.0,False
HK.00941,HMM Regime Switch,-0.011,33.3,0.005,13.3,False
HK.00941,ML Direction Classifier,-0.023,44.4,-0.029,20.0,False
HK.02318,Regime Switch,-0.026,11.1,-0.032,13.3,False
HK.02318,HMM Regime Switch,-0.041,11.1,-0.018,26.7,False
HK.02318,ML Direction Classifier,-0.036,44.4,-0.002,60.0,False
HK.01211,Regime Switch,-0.213,11.1,-0.066,0.0,False
HK.01211,HMM Regime Switch,-0.092,33.3,-0.051,0.0,False
HK.01211,ML Direction Classifier,0.028,44.4,-0.268,33.3,False
HK.01810,Regime Switch,-0.044,11.1,-0.024,20.0,False
HK.01810,HMM Regime Switch,-0.039,11.1,0.005,20.0,False
HK.01810,ML Direction Classifier,-0.137,33.3,-0.05,26.7,False
HK.09618,Regime Switch,-0.149,11.1,0.007,20.0,False
HK.09618,HMM Regime Switch,-0.255,11.1,-0.072,6.7,False
HK.09618,ML Direction Classifier,-0.409,33.3,-0.118,33.3,False
HK.09888,Regime Switch,0.19,44.4,-0.179,6.7,False
HK.09888,HMM Regime Switch,-0.071,11.1,-0.082,0.0,False
HK.09888,ML Direction Classifier,-0.5,44.4,-0.312,33.3,False
