market,symbol,config_a_oos,config_a_consistency,config_b_oos,config_b_consistency,buyhold_a_oos,buyhold_b_oos,beats_buyhold_both_configs,robust
HK,HK.00700,-0.405,33.3,-0.142,26.7,1.097,-0.453,False,False
HK,HK.00005,0.075,44.4,0.147,46.7,1.12,1.408,False,False
HK,HK.09988,-0.498,11.1,-0.023,26.7,-4.913,-4.067,True,False
HK,HK.03690,-0.423,0.0,-0.17,33.3,-2.489,-2.776,True,False
HK,HK.01299,-0.11,33.3,-0.017,26.7,-3.548,0.001,False,False
HK,HK.00941,-0.045,33.3,-0.069,40.0,0.266,0.733,False,False
HK,HK.02318,0.025,33.3,-0.049,40.0,-5.189,-1.75,True,False
HK,HK.01211,-0.364,0.0,0.047,46.7,-1.889,-1.572,True,False
HK,HK.01810,-0.058,33.3,-0.019,20.0,-0.21,-0.54,True,False
HK,HK.09618,-0.324,11.1,-0.216,20.0,0.538,-2.345,False,False
HK,HK.09888,-0.339,33.3,-0.154,40.0,-3.092,-5.839,True,False
HK,HK.01398,0.003,44.4,0.002,26.7,1.193,2.55,False,False
HK,HK.00939,-0.013,33.3,-0.004,20.0,1.817,2.624,False,False
HK,HK.00883,-0.046,11.1,0.045,60.0,0.785,3.866,False,False
HK,HK.00016,-0.269,22.2,-0.024,33.3,-1.354,0.582,False,False
HK,HK.00027,-0.035,33.3,-0.021,26.7,-4.111,-1.97,True,False
HK,HK.00388,-1.426,11.1,-0.205,33.3,-4.818,-0.679,True,False
HK,HK.02020,-0.196,33.3,-0.041,20.0,-2.865,-1.114,True,False
HK,HK.09999,-0.666,22.2,-0.298,26.7,-2.011,-1.327,True,False
US,US.AAPL,0.275,55.6,-0.02,40.0,0.095,-1.443,True,False
US,US.MSFT,0.891,44.4,0.115,53.3,1.838,2.844,False,False
US,US.NVDA,-0.233,22.2,0.056,40.0,-0.968,4.134,False,False
US,US.TSLA,-0.851,44.4,-0.108,46.7,-0.367,-6.151,False,False
US,US.GOOGL,0.413,55.6,-0.07,40.0,2.907,0.918,False,False
US,US.AMZN,-0.382,22.2,0.129,53.3,0.692,-0.203,False,False
US,US.META,0.007,33.3,-0.274,40.0,-0.692,1.089,False,False
US,US.JPM,0.513,66.7,0.487,53.3,1.835,0.658,False,True
US,US.V,-0.041,33.3,0.039,46.7,-1.609,-0.231,True,False
US,US.XOM,-0.085,55.6,0.279,60.0,2.21,1.55,False,False
US,US.JNJ,0.345,55.6,-0.179,26.7,0.961,0.59,False,False
US,US.PFE,0.021,44.4,-0.018,40.0,-0.476,0.959,False,False
US,US.PG,-0.256,33.3,-0.111,33.3,-2.83,-0.859,True,False
US,US.WMT,0.063,44.4,0.015,46.7,0.598,-0.03,False,False
US,US.CAT,-0.009,33.3,0.042,40.0,0.168,-0.323,False,False
