symbol,windows,always_rule_mean,always_rule_consistency,always_hmm_mean,always_hmm_consistency,blended_mean,blended_consistency
HK.00700,9,-1.031,0.0,0.037,22.2,-0.497,11.1
HK.00005,9,-0.048,22.2,-0.058,11.1,-0.053,22.2
HK.09988,9,-0.201,33.3,0.099,33.3,-0.051,22.2
HK.03690,9,0.031,33.3,-0.264,0.0,-0.116,22.2
HK.01299,9,-0.113,33.3,-0.101,22.2,-0.107,22.2
HK.00941,9,0.016,22.2,-0.002,33.3,0.007,55.6
HK.02318,9,-0.025,11.1,-0.009,22.2,-0.017,22.2
HK.01211,9,-0.2,11.1,-0.17,33.3,-0.185,22.2
HK.01810,9,-0.041,11.1,-0.034,11.1,-0.037,11.1
HK.09618,9,-0.115,22.2,-0.187,22.2,-0.151,22.2
HK.09888,9,0.264,55.6,-0.0,11.1,0.132,44.4
