symbol,window,rule_oos_return,hmm_oos_return,blended_oos_return
HK.00700,1,-0.551,-0.192,-0.372
HK.00700,2,-0.52,0.378,-0.071
HK.00700,3,-0.758,-0.149,-0.454
HK.00700,4,-1.891,-2.015,-1.953
HK.00700,5,-0.766,-0.404,-0.585
HK.00700,6,0.0,-0.56,-0.28
HK.00700,7,-0.419,0.0,-0.209
HK.00700,8,-2.571,3.275,0.352
HK.00700,9,-1.806,0.0,-0.903
HK.00005,1,0.162,-0.042,0.06
HK.00005,2,-0.224,0.0,-0.112
HK.00005,3,-0.054,-0.068,-0.061
HK.00005,4,0.0,-0.087,-0.043
HK.00005,5,-0.321,-0.046,-0.183
HK.00005,6,-0.078,-0.199,-0.139
HK.00005,7,-0.273,-0.152,-0.212
HK.00005,8,-0.089,-0.09,-0.089
HK.00005,9,0.446,0.161,0.303
HK.09988,1,-0.096,-0.168,-0.132
HK.09988,2,-0.027,-0.038,-0.033
HK.09988,3,-0.255,-0.186,-0.221
HK.09988,4,0.026,-0.049,-0.012
HK.09988,5,-0.543,0.354,-0.095
HK.09988,6,-0.584,0.0,-0.292
HK.09988,7,0.279,0.03,0.155
HK.09988,8,-1.178,-0.182,-0.68
HK.09988,9,0.573,1.129,0.851
HK.03690,1,-0.286,0.0,-0.143
HK.03690,2,0.421,-0.141,0.14
HK.03690,3,-0.278,-1.07,-0.674
HK.03690,4,0.429,-0.675,-0.123
HK.03690,5,0.0,0.0,0.0
HK.03690,6,-0.091,-0.061,-0.076
HK.03690,7,-0.212,-0.037,-0.124
HK.03690,8,0.716,-0.251,0.233
HK.03690,9,-0.419,-0.136,-0.278
HK.01299,1,-0.222,0.0,-0.111
HK.01299,2,0.271,-0.024,0.123
HK.01299,3,-0.107,0.019,-0.044
HK.01299,4,0.086,-0.239,-0.076
HK.01299,5,-0.263,0.0,-0.132
HK.01299,6,0.041,0.008,0.025
HK.01299,7,-0.227,-0.227,-0.227
HK.01299,8,-0.464,-0.337,-0.401
HK.01299,9,-0.137,-0.113,-0.125
HK.00941,1,0.204,0.0,0.102
HK.00941,2,-0.005,0.175,0.085
HK.00941,3,-0.204,-0.256,-0.23
HK.00941,4,0.0,-0.018,-0.009
HK.00941,5,0.0,0.12,0.06
HK.00941,6,0.0,-0.079,-0.039
HK.00941,7,0.0,0.145,0.072
HK.00941,8,-0.029,-0.051,-0.04
HK.00941,9,0.176,-0.054,0.061
HK.02318,1,-0.042,0.0,-0.021
HK.02318,2,-0.069,0.018,-0.025
HK.02318,3,-0.166,-0.096,-0.131
HK.02318,4,0.0,-0.141,-0.07
HK.02318,5,0.177,-0.001,0.088
HK.02318,6,-0.092,0.149,0.029
HK.02318,7,0.0,0.0,0.0
HK.02318,8,-0.034,-0.005,-0.02
HK.02318,9,0.0,-0.003,-0.001
HK.01211,1,-0.717,0.0,-0.359
HK.01211,2,0.0,0.03,0.015
HK.01211,3,-0.231,-0.042,-0.136
HK.01211,4,-0.105,-0.212,-0.158
HK.01211,5,-0.401,0.002,-0.199
HK.01211,6,-0.071,-0.98,-0.526
HK.01211,7,-0.28,-0.563,-0.422
HK.01211,8,0.048,0.356,0.202
HK.01211,9,-0.041,-0.125,-0.083
HK.01810,1,-0.002,0.003,0.0
HK.01810,2,-0.025,-0.019,-0.022
HK.01810,3,-0.007,-0.007,-0.007
HK.01810,4,0.0,0.0,0.0
HK.01810,5,0.111,-0.138,-0.013
HK.01810,6,-0.283,-0.074,-0.179
HK.01810,7,0.0,-0.008,-0.004
HK.01810,8,-0.161,-0.063,-0.112
HK.01810,9,0.0,0.0,0.0
HK.09618,1,0.455,0.059,0.257
HK.09618,2,-0.051,0.0,-0.025
HK.09618,3,-0.353,-0.121,-0.237
HK.09618,4,-0.568,-0.483,-0.525
HK.09618,5,-0.072,-0.769,-0.42
HK.09618,6,0.0,-0.03,-0.015
HK.09618,7,-0.477,-0.417,-0.447
HK.09618,8,0.034,0.147,0.091
HK.09618,9,0.0,-0.065,-0.033
HK.09888,1,0.689,-0.068,0.31
HK.09888,2,0.576,-0.344,0.116
HK.09888,3,-0.083,-0.081,-0.082
HK.09888,4,-0.14,-0.017,-0.079
HK.09888,5,-0.01,-0.029,-0.019
HK.09888,6,0.552,-0.01,0.271
HK.09888,7,0.628,0.801,0.715
HK.09888,8,-0.0,0.0,-0.0
HK.09888,9,0.169,-0.253,-0.042
