symbol,net_oos_mean,net_consistency,gross_oos_mean,gross_consistency,avg_trades_per_window,cost_drag
HK.00700,0.037,22.2,0.291,22.2,2.9,0.254
HK.00005,-0.058,11.1,0.009,33.3,3.4,0.067
HK.09988,0.099,33.3,0.168,44.4,3.2,0.069
HK.03690,-0.264,0.0,-0.212,11.1,2.9,0.052
HK.01299,-0.101,22.2,-0.075,11.1,2.9,0.026
HK.00941,-0.002,33.3,0.063,66.7,3.6,0.065
HK.02318,-0.009,22.2,0.013,66.7,2.4,0.022
HK.01211,-0.17,33.3,-0.115,33.3,2.6,0.055
HK.01810,-0.034,11.1,-0.022,22.2,1.9,0.012
HK.09618,-0.187,22.2,-0.14,22.2,2.3,0.047
HK.09888,-0.0,11.1,0.058,33.3,2.7,0.058
HK.01398,-0.002,22.2,0.0,22.2,2.1,0.002
HK.00939,0.001,44.4,0.003,44.4,2.6,0.002
HK.00883,-0.01,33.3,0.002,44.4,3.1,0.012
HK.00016,-0.087,0.0,-0.044,0.0,2.6,0.043
HK.00027,-0.023,22.2,-0.014,22.2,1.3,0.009
HK.00388,0.016,33.3,0.173,44.4,2.0,0.157
HK.02020,-0.003,22.2,0.041,33.3,1.7,0.044
HK.09999,-0.066,33.3,0.018,44.4,2.1,0.084
