symbol,window,rule_train_sharpe,hmm_train_sharpe,picked,rule_oos_return,hmm_oos_return,selector_oos_return
HK.00700,1,1.939,1.521,Rule,-0.664,-0.74,-0.664
HK.00700,2,1.201,-0.537,Rule,0.687,0.732,0.687
HK.00700,3,2.813,3.072,HMM,2.371,-0.149,-0.149
HK.00700,4,1.215,1.144,Rule,-0.325,-0.745,-0.325
HK.00700,5,1.639,2.397,HMM,-0.489,-3.991,-3.991
HK.00700,6,1.722,1.537,Rule,0.0,-0.746,0.0
HK.00700,7,1.302,-0.467,Rule,0.0,0.824,0.0
HK.00700,8,3.844,-0.816,Rule,1.788,-0.135,1.788
HK.00700,9,2.518,2.008,Rule,-1.806,0.0,-1.806
HK.00005,1,3.174,2.14,Rule,-0.018,0.062,-0.018
HK.00005,2,0.829,-0.334,Rule,-0.086,-0.036,-0.086
HK.00005,3,2.643,0.393,Rule,0.103,-0.085,0.103
HK.00005,4,3.562,-0.709,Rule,0.0,0.0,0.0
HK.00005,5,5.538,4.863,Rule,-1.356,-0.093,-1.356
HK.00005,6,3.022,3.022,Rule,-0.113,0.0,-0.113
HK.00005,7,3.667,2.316,Rule,0.175,-0.104,0.175
HK.00005,8,2.569,0.288,Rule,0.001,0.668,0.001
HK.00005,9,4.589,4.983,HMM,0.0,0.0,0.0
HK.09988,1,0.406,0.523,HMM,0.117,-0.197,-0.197
HK.09988,2,3.462,0.302,Rule,0.337,0.337,0.337
HK.09988,3,2.514,1.243,Rule,-0.263,-0.228,-0.263
HK.09988,4,2.595,-0.099,Rule,-0.258,-0.053,-0.258
HK.09988,5,4.891,2.976,Rule,0.105,-2.181,0.105
HK.09988,6,0.852,2.756,HMM,0.015,0.076,0.076
HK.09988,7,3.1,-1.08,Rule,0.447,-0.072,0.447
HK.09988,8,2.438,-0.479,Rule,0.593,0.095,0.593
HK.09988,9,0.584,1.354,HMM,0.346,0.0,0.0
HK.03690,1,0.932,1.254,HMM,-0.188,-0.204,-0.204
HK.03690,2,3.398,3.377,Rule,0.114,0.0,0.114
HK.03690,3,3.205,1.588,Rule,0.245,-0.958,0.245
HK.03690,4,3.369,0.143,Rule,-0.46,-0.164,-0.46
HK.03690,5,4.238,1.544,Rule,-0.557,-0.796,-0.557
HK.03690,6,1.467,2.121,HMM,0.0,-0.006,-0.006
HK.03690,7,1.353,1.112,Rule,-0.141,-0.161,-0.141
HK.03690,8,-2.16,-2.829,Rule,-0.378,0.099,-0.378
HK.03690,9,3.463,3.266,Rule,0.0,-0.136,0.0
HK.01299,1,0.997,1.233,HMM,-0.045,-0.033,-0.033
HK.01299,2,1.459,-0.789,Rule,-0.194,0.0,-0.194
HK.01299,3,0.549,-0.271,Rule,0.113,0.164,0.113
HK.01299,4,4.547,-1.978,Rule,-0.273,0.0,-0.273
HK.01299,5,2.235,0.764,Rule,-0.107,0.0,-0.107
HK.01299,6,3.142,3.431,HMM,-0.22,-0.16,-0.16
HK.01299,7,1.851,3.185,HMM,-0.215,-0.013,-0.013
HK.01299,8,2.881,1.364,Rule,-0.595,-0.045,-0.595
HK.01299,9,2.165,-2.191,Rule,-0.196,-0.043,-0.196
HK.00941,1,2.792,2.648,Rule,0.0,-0.031,0.0
HK.00941,2,3.726,3.41,Rule,0.0,0.0,0.0
HK.00941,3,4.095,3.743,Rule,-0.136,-0.171,-0.136
HK.00941,4,0.752,0.433,Rule,0.124,-0.096,0.124
HK.00941,5,4.044,1.753,Rule,-0.205,-0.199,-0.205
HK.00941,6,4.709,2.899,Rule,-0.135,0.0,-0.135
HK.00941,7,2.395,0.0,Rule,-0.095,0.145,-0.095
HK.00941,8,3.817,2.098,Rule,0.0,0.0,0.0
HK.00941,9,-0.028,0.669,HMM,0.0,-0.054,-0.054
HK.02318,1,1.565,0.401,Rule,-0.198,0.0,-0.198
HK.02318,2,5.127,3.446,Rule,0.044,-0.016,0.044
HK.02318,3,2.281,2.099,Rule,-0.197,-0.074,-0.197
HK.02318,4,3.709,-1.425,Rule,0.0,-0.085,0.0
HK.02318,5,4.096,3.553,Rule,-0.041,-0.041,-0.041
HK.02318,6,4.116,4.069,Rule,0.048,-0.017,0.048
HK.02318,7,2.44,1.876,Rule,0.0,-0.04,0.0
HK.02318,8,2.999,0.452,Rule,-0.161,-0.11,-0.161
HK.02318,9,-0.031,-2.109,Rule,0.0,0.0,0.0
HK.01211,1,0.528,0.789,HMM,-0.612,-0.101,-0.101
HK.01211,2,3.934,3.353,Rule,0.0,-0.014,0.0
HK.01211,3,3.932,2.439,Rule,0.171,0.0,0.171
HK.01211,4,2.323,2.655,HMM,0.269,0.6,0.6
HK.01211,5,4.028,3.365,Rule,-2.175,-0.55,-2.175
HK.01211,6,1.939,1.604,Rule,-1.206,-0.094,-1.206
HK.01211,7,1.73,-0.485,Rule,0.108,-0.201,0.108
